keyword,avg_monthly_searches,competition,volume_anchor,source
ai agent,10K-100K,Medium,50000,google_keyword_planner
ai assistant,100K-1M,Low,500000,google_keyword_planner
ai automation tool,1K-10K,Medium,5000,google_keyword_planner
ai chatbot,100K-1M,Low,500000,google_keyword_planner
ai customer support agent,10-100,Medium,50,google_keyword_planner
ai email assistant,100-1K,Low,500,google_keyword_planner
ai meeting assistant,100-1K,Low,500,google_keyword_planner
ai recruiter,1K-10K,Low,5000,google_keyword_planner
ai sales agent,100-1K,Medium,500,google_keyword_planner
ai tools,100K-1M,Medium,500000,google_keyword_planner
crm software,10K-100K,Low,50000,google_keyword_planner
client portal software,10-100,Low,50,google_keyword_planner
document organizer,100-1K,High,500,google_keyword_planner
document management software,1K-10K,Low,5000,google_keyword_planner
gift registry,100-1K,Low,500,google_keyword_planner
wedding registry,100-1K,Low,500,google_keyword_planner
budget planner,1K-10K,Low,5000,google_keyword_planner
expense tracker,1K-10K,Low,5000,google_keyword_planner
invoice generator,10K-100K,Low,50000,google_keyword_planner
resume builder,100K-1M,Medium,500000,google_keyword_planner
fitness app,1K-10K,Low,5000,google_keyword_planner
habit tracker,10K-100K,Medium,50000,google_keyword_planner
workflow automation,1K-10K,Medium,5000,google_keyword_planner
hr software,10K-100K,Medium,50000,google_keyword_planner
email marketing software,10K-100K,Low,50000,google_keyword_planner
